Distance_(pixels),Gray_Value
0,96.000
1,73.000
2,51.978
3,33.000
4,18.000
5,7.945
6,1.000
7,0.000
8,3.000
9,10.000
10,22.000
11,38.000
12,56.132
13,78.000
14,101.000
15,125.000
16,149.000
17,172.000
18,194.000
19,213.000
20,229.000
21,242.000
22,251.000
23,255.000
24,255.000
25,251.000
26,242.000
27,230.000
28,214.000
29,195.000
30,174.670
31,152.000
32,129.000
33,105.637
34,83.000
35,62.000
36,43.604
37,28.000
38,15.000
39,6.000
40,1.000
41,0.000
42,3.000
43,9.473
44,20.000
45,34.000
46,51.000
47,70.000
48,91.000
49,113.000
50,135.551
51,157.562
52,178.573
53,198.000
54,215.595
55,230.000
56,242.000
57,250.000
58,255.000
59,255.000
60,252.000
61,246.000
62,236.000
63,223.000
64,207.000
65,189.000
66,169.000
67,148.000
68,126.251
69,105.000
70,84.229
71,65.000
72,47.207
73,32.000
74,19.000
75,9.174
76,3.000
77,0.000
78,0.000
79,4.000
80,11.000
81,21.000
82,34.000
83,49.000
84,66.925
85,85.000
86,105.000
87,126.000
88,146.000
89,166.000
90,185.000
91,203.000
92,218.000
93,231.000
94,242.000
95,249.000
96,254.000
97,255.000
98,254.000
99,249.000
100,241.899
101,231.000
102,218.000
103,203.000
104,187.000
105,168.844
106,149.833
107,130.000
108,110.811
109,91.800
110,73.789
111,56.778
112,41.000
113,28.000
114,17.000
115,9.000
116,3.000
117,0.000
118,0.000
119,2.000
120,8.000
121,16.000
122,26.000
123,38.354
124,53.000
125,69.000
126,86.000
127,104.000
128,122.000
129,141.000
130,159.000
131,176.000
132,193.000
133,208.000
134,221.000
135,232.486
136,242.000
137,249.000
138,253.000
139,255.000
140,255.000
141,252.000
142,247.000
143,239.000
144,229.000
145,218.000
146,204.000
147,189.381
148,174.000
149,157.000
150,140.000
151,122.337
152,105.000
153,88.315
154,72.304
155,57.293
156,44.000
157,32.000
158,21.000
159,13.000
160,6.000
161,2.000
162,0.000
163,0.000
164,2.000
165,6.000
166,13.000
167,21.000
168,31.000
169,42.861
170,55.872
171,69.883
172,84.894
173,100.000
174,116.000
175,132.000
176,148.000
177,164.000
178,179.000
179,193.000
180,206.000
181,218.000
182,229.000
183,238.000
184,245.000
185,250.000
186,254.000
187,255.000
188,255.000
189,253.000
190,249.000
191,243.000
192,236.000
193,227.000
194,217.000
195,206.000
196,193.000
197,180.000
198,166.000
199,151.000
200,136.798
201,121.787
202,107.000
203,92.765
204,78.754
205,65.000
206,53.000
207,42.000
208,31.000
209,22.699
210,15.000
211,9.000
212,4.000
213,1.000
214,0.000
215,0.000
216,1.000
217,5.000
218,9.000
219,15.000
220,22.422
221,31.000
222,41.000
223,51.000
224,63.000
225,75.000
226,88.000
227,101.000
228,114.000
229,127.522
230,141.000
231,154.000
232,167.000
233,179.000
234,191.000
235,202.000
236,212.599
237,222.000
238,230.000
239,237.000
240,243.000
241,248.000
242,252.000
243,254.000
244,255.000
245,255.000
246,254.000
247,251.000
248,247.269
249,243.000
250,237.000
251,230.000
252,222.000
253,213.000
254,203.203
255,193.192
256,183.000
257,172.000
258,160.000
259,148.148
260,137.000
261,125.000
262,113.000
263,101.000
264,90.000
265,79.000
266,68.071
267,58.060
268,49.000
269,40.000
270,32.000
271,25.000
272,19.000
273,13.000
274,8.983
275,5.000
276,2.000
277,0.000
278,0.000
279,0.000
280,1.000
281,3.000
282,6.000
283,9.000
284,14.000
285,19.000
286,25.000
287,32.000
288,39.000
289,47.000
290,55.000
291,64.000
292,73.000
293,83.000
294,92.237
295,102.248
296,112.259
297,122.270
298,132.281
299,142.292
300,152.000
301,162.000
302,171.000
303,180.000
304,189.000
305,197.000
306,205.000
307,212.380
308,219.000
309,226.000
310,231.413
